charge,anlage,area,product,recipe,start,ende,diff,diffm
6283179_6283185,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-20 04:49:15.933000+00:00,2020-05-20 05:12:38.186000+00:00,0 days 00:23:22.253000,23.37088333333333
6283183_6283188,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-20 05:36:06.602000+00:00,2020-05-20 05:51:44.537000+00:00,0 days 00:15:37.935000,15.63225
6283210_6283214,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-20 05:13:09.747000+00:00,2020-05-20 05:35:55.154000+00:00,0 days 00:22:45.407000,22.75678333333333
6283240_6283244,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-20 05:53:46.005000+00:00,2020-05-20 06:22:56.694000+00:00,0 days 00:29:10.689000,29.17815
6283504_6283511,Abfuellbeh_2_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_2,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 08:43:49.997000+00:00,2020-05-20 09:51:40.445000+00:00,0 days 01:07:50.448000,67.8408
6283513_6283518,Keimfiltration_2_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_2,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-20 09:56:57.612000+00:00,2020-05-20 11:03:31.078000+00:00,0 days 01:06:33.466000,66.55776666666667
6283521_6283531,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-20 08:44:16.201000+00:00,2020-05-20 09:01:41.505000+00:00,0 days 00:17:25.304000,17.421733333333332
6283951_6283957,Keimfiltration_2_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_2,SIP,RP07_SIP_TRANS_FLT,2020-05-20 11:11:20.207000+00:00,2020-05-20 11:37:48.237000+00:00,0 days 00:26:28.030000,26.467166666666667
6283975_6283986,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 12:24:37.364000+00:00,2020-05-20 13:36:14.294000+00:00,0 days 01:11:36.930000,71.6155
6283976_6283987,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-20 11:21:59.013000+00:00,2020-05-20 11:45:22.289000+00:00,0 days 00:23:23.276000,23.387933333333333
6283988_6283992,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-20 12:24:48.979000+00:00,2020-05-20 12:40:26.531000+00:00,0 days 00:15:37.552000,15.625866666666669
6283997_6284001,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-20 11:58:20.902000+00:00,2020-05-20 12:21:15.442000+00:00,0 days 00:22:54.540000,22.909
6284027_6284031,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-20 12:42:33.288000+00:00,2020-05-20 13:11:10.933000+00:00,0 days 00:28:37.645000,28.627416666666665
6284386_6284394,Abfuellbeh_1_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_1,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 15:25:49.600000+00:00,2020-05-20 16:36:24.097000+00:00,0 days 01:10:34.497000,70.57495
6284395_6284405,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-20 18:20:46.252000+00:00,2020-05-20 19:33:05.002000+00:00,0 days 01:12:18.750000,72.3125
6284413_6284417,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-20 15:26:03.653000+00:00,2020-05-20 15:43:28.395000+00:00,0 days 00:17:24.742000,17.412366666666667
6285225_6285232,Abfuellbeh_1_#_SIP_#_RP06_SIP_BEHAELTER,Abfuellbeh_1,SIP,RP06_SIP_BEHAELTER,2020-05-20 16:38:44.289000+00:00,2020-05-20 18:21:17.185000+00:00,0 days 01:42:32.896000,102.54826666666666
6289935_6289939,Keimfiltration_1_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_1,SIP,RP07_SIP_TRANS_FLT,2020-05-20 19:33:49.914000+00:00,2020-05-20 20:04:20.652000+00:00,0 days 00:30:30.738000,30.5123
6289948_6289952,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 20:52:14.473000+00:00,2020-05-20 21:57:29.149000+00:00,0 days 01:05:14.676000,65.2446
6289953_6289961,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-20 19:40:30.724000+00:00,2020-05-20 20:28:26.223000+00:00,0 days 00:47:55.499000,47.92498333333333
6289962_6289966,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-20 20:52:27.318000+00:00,2020-05-20 21:08:04.991000+00:00,0 days 00:15:37.673000,15.627883333333331
6289988_6289992,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-20 20:29:32.296000+00:00,2020-05-20 20:52:17.388000+00:00,0 days 00:22:45.092000,22.75153333333333
6290022_6290026,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-20 21:09:07.844000+00:00,2020-05-20 21:35:44.134000+00:00,0 days 00:26:36.290000,26.60483333333333
6290114_6290121,Abfuellbeh_2_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_2,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 22:27:28.180000+00:00,2020-05-20 23:35:06.582000+00:00,0 days 01:07:38.402000,67.64003333333334
6290123_6290130,Keimfiltration_2_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_2,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-21 00:47:18.771000+00:00,2020-05-21 01:54:08.613000+00:00,0 days 01:06:49.842000,66.8307
6290133_6290141,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-20 22:22:59.684000+00:00,2020-05-20 22:40:25.746000+00:00,0 days 00:17:26.062000,17.434366666666666
6290481_6290489,Ventilknoten_Abf_#_SIP_#_RP36_SIP_ABF_KNT,Ventilknoten_Abf,SIP,RP36_SIP_ABF_KNT,2020-05-20 22:40:31.292000+00:00,2020-05-20 23:06:14.229000+00:00,0 days 00:25:42.937000,25.715616666666666
6291050_6291054,Abfuellbeh_2_#_SIP_#_RP06_SIP_BEHAELTER,Abfuellbeh_2,SIP,RP06_SIP_BEHAELTER,2020-05-20 23:34:56.353000+00:00,2020-05-21 00:45:18.289000+00:00,0 days 01:10:21.936000,70.3656
6292874_6292879,Keimfiltration_2_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_2,SIP,RP07_SIP_TRANS_FLT,2020-05-21 02:01:37.031000+00:00,2020-05-21 02:27:37.181000+00:00,0 days 00:26:00.150000,26.0025
6292895_6292901,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-21 03:12:42.613000+00:00,2020-05-21 04:16:11.723000+00:00,0 days 01:03:29.110000,63.485166666666665
6292903_6292912,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-21 02:01:52.629000+00:00,2020-05-21 02:25:14.179000+00:00,0 days 00:23:21.550000,23.359166666666667
6292913_6292921,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-21 03:12:55.397000+00:00,2020-05-21 03:28:32.685000+00:00,0 days 00:15:37.288000,15.621466666666668
6292950_6292955,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-21 02:36:34.524000+00:00,2020-05-21 02:59:35.236000+00:00,0 days 00:23:00.712000,23.011866666666663
6292999_6293003,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-21 03:29:09.931000+00:00,2020-05-21 04:00:15.442000+00:00,0 days 00:31:05.511000,31.09185
6293029_6293033,Loesebehaelter_#_SIP_#_RP06_SIP_BEHAELTER,Loesebehaelter,SIP,RP06_SIP_BEHAELTER,2020-05-21 04:23:59.517000+00:00,2020-05-21 05:09:03.551000+00:00,0 days 00:45:04.034000,45.06723333333333
6293139_6293148,Abfuellbeh_1_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_1,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-21 05:33:30.269000+00:00,2020-05-21 06:44:12.640000+00:00,0 days 01:10:42.371000,70.70618333333333
6293146_6293152,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-21 07:34:59.373000+00:00,2020-05-21 11:29:25.765000+00:00,0 days 03:54:26.392000,234.43986666666663
6293156_6293165,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-21 05:33:15.451000+00:00,2020-05-21 05:50:43.220000+00:00,0 days 00:17:27.769000,17.462816666666665
6293304_6293308,Ventilknoten_Abf_#_CIP_PLS_A_#_RP23_CIP_FUELLER,Ventilknoten_Abf,CIP_PLS_A,RP23_CIP_FUELLER,2020-05-21 05:54:33.477000+00:00,2020-05-21 07:30:24.578000+00:00,0 days 01:35:51.101000,95.85168333333333
6293998_6294005,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-21 11:31:38.953000+00:00,2020-05-21 12:26:12.832000+00:00,0 days 00:54:33.879000,54.56465
6294007_6294011,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-21 10:29:47.771000+00:00,2020-05-21 10:53:09.598000+00:00,0 days 00:23:21.827000,23.36378333333333
6294012_6294016,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-21 11:31:21.213000+00:00,2020-05-21 11:46:59.753000+00:00,0 days 00:15:38.540000,15.642333333333331
6294070_6294074,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-21 11:08:11.577000+00:00,2020-05-21 11:31:05.773000+00:00,0 days 00:22:54.196000,22.903266666666667
6294113_6294117,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-21 11:34:21.840000+00:00,2020-05-21 12:45:24.956000+00:00,0 days 01:11:03.116000,71.05193333333334
6294118_6294122,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-21 11:56:48.417000+00:00,2020-05-21 12:28:49.849000+00:00,0 days 00:32:01.432000,32.02386666666666
6294240_6294249,Keimfiltration_1_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_1,SIP,RP07_SIP_TRANS_FLT,2020-05-21 12:46:58.379000+00:00,2020-05-21 13:56:24.857000+00:00,0 days 01:09:26.478000,69.4413
6294488_6294493,Abfuellbeh_2_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_2,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-21 14:00:15.079000+00:00,2020-05-21 15:07:24.895000+00:00,0 days 01:07:09.816000,67.1636
6294496_6294509,Keimfiltration_2_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_2,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-21 15:15:10.982000+00:00,2020-05-21 16:22:14.673000+00:00,0 days 01:07:03.691000,67.06151666666666
6294497_6294507,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-21 14:00:34.077000+00:00,2020-05-21 14:17:59.155000+00:00,0 days 00:17:25.078000,17.41796666666667
6295052_6295056,Keimfiltration_2_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_2,SIP,RP07_SIP_TRANS_FLT,2020-05-21 16:59:51.595000+00:00,2020-05-21 17:26:24.972000+00:00,0 days 00:26:33.377000,26.556283333333333
